,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2279,"29.65,75.56",0,zigzag,29.64598217141971,75.55663147163393,haryana,23819604.48017778,13881760.817848634,0.0877398,0.0385683,23819555.345889777,13881739.219600637,23819653.61446578,13881782.416096631,196.896112,969.303832,295.164688,1012.500328,29.61394431960853,75.55939310493468,3.5613312620036925
2280,"28.02,77.24",0,zigzag,28.016517639557065,77.23854507884977,haryana,23976370.19063111,14055137.222267373,0.0791009,0.0370841,23976325.894127112,14055116.455171373,23976414.48713511,14055157.989363372,380.095016,906.904264,468.688024,948.438456,28.011550726553736,77.24447136692052,0.8016754998556316
2281,"28.21,76.69",0,zigzag,28.20758543436385,76.68892025165557,haryana,23925141.44371556,14034946.44968038,0.0775857,0.0423159,23925097.99572356,14034922.75277638,23925184.89170756,14034970.14658438,415.912168,791.688856,502.808152,839.0826639999999,28.2176011298975,76.6918290124893,1.1461095478608103
2282,"28.63,76.74",0,zigzag,28.63155602180855,76.73650497608187,haryana,23929576.66149333,13990014.451750582,0.097906,0.0395063,23929521.83413333,13989992.328222582,23929631.48885333,13990036.575278582,179.4128,372.640632,289.06752,416.887688,28.63286751431578,76.73348225059513,0.3293744393014603
2283,"28.63,76.74",1,zigzag,28.634651734379208,76.74064865169528,haryana,23929962.88005333,13989685.706998585,0.0820976,0.041499,23929916.905397333,13989662.467558583,23930008.85470933,13989708.946438584,574.484064,42.779968,666.433376,89.258848,28.635174538226515,76.73624431858066,0.43453314408421845
2284,"28.63,76.74",3,zigzag,28.62807293396699,76.74134898548128,haryana,23930028.155893337,13990384.321670584,0.0803448,0.0379095,23929983.162805337,13990363.092350582,23930073.148981337,13990405.550990583,640.741472,743.40476,730.727648,785.8634000000001,28.63155602180855,76.73650497608187,0.6110475179837747
2285,"28.72,76.20",0,zigzag,28.71677094919509,76.20383260974886,haryana,23879927.99845333,13980961.629268358,0.0876906,0.0366828,23879878.891717333,13980941.086900355,23879977.10518933,13980982.171636358,868.118384,882.641312,966.331856,923.726048,28.71281307460846,76.20565331897734,0.4733544759725958
2286,"28.63,76.75",0,zigzag,28.63414651723018,76.74896645431521,haryana,23930738.15544889,13989739.35847058,0.0888003,0.0628984,23930688.42728089,13989704.13536658,23930787.88361689,13989774.581574582,413.9383920000001,84.447776,513.394728,154.893984,28.634651734379208,76.74064865169528,0.815238223546282
2287,"28.57,76.78",1,zigzag,28.56701869250649,76.78367743129732,haryana,23933973.45299556,13996865.694838831,0.0392959,0.0714619,23933951.44729156,13996825.67617483,23933995.45869956,13996905.713502832,880.7557360000001,836.3824559999999,924.767144,916.419784,28.56556985722866,76.78065838489532,0.3362142547292883
2288,"28.57,76.78",2,zigzag,28.56556985722866,76.78065838489532,haryana,23933692.05747556,13997019.454038832,0.091563,0.0425195,23933640.78219556,13996995.643118832,23933743.332755554,13997043.264958832,570.09064,1006.3494,672.6412,1053.97124,28.56701869250649,76.78367743129732,0.3362142547292883
2289,"27.73,76.94",0,zigzag,27.72880185445173,76.9399517906189,haryana,23948539.279004447,14085473.690709217,0.0818959,0.0418845,23948493.417300448,14085450.235389214,23948585.140708447,14085497.146029215,509.644856,662.70932,601.368264,709.6199600000001,27.721070990767068,76.94085928535465,0.8613570921432048
2290,"29.32,76.80",0,zigzag,29.32194833474773,76.79925460510256,haryana,23935425.35082667,13916456.320564851,0.121457,0.0901079,23935357.33490667,13916405.86014085,23935493.366746668,13916506.780988852,422.50824,301.258776,558.5400800000001,402.1796240000001,29.322049886216902,76.79926596050261,0.011309990454003223
2291,"29.32,76.80",1,zigzag,29.322049886216902,76.79926596050261,haryana,23935426.409226667,13916445.464404851,0.101055,0.0425358,23935369.81842667,13916421.64435685,23935483.000026666,13916469.284452852,434.99176,317.042992,548.17336,364.683088,29.32194833474773,76.79925460510256,0.011309990454003223
2292,"28.71,76.27",0,zigzag,28.714469816353382,76.27162568473814,haryana,23886246.77102222,13981206.187314857,0.0804103,0.0350808,23886201.741254214,13981186.542066855,23886291.80079022,13981225.832562856,666.495032,65.330384,756.554568,104.62088,28.72285653729448,76.26136463069915,1.3671273822529668
2293,"29.72,76.38",0,zigzag,29.72462607033481,76.37767281589505,haryana,23896131.080053333,13873323.325671034,0.0631608,0.0844028,23896095.71000533,13873276.060103036,23896166.45010133,13873370.591239031,307.72067200000004,16.232943999999996,378.460768,110.76408,29.716539049305403,76.35381545047755,2.476281328679261
2294,"29.06,76.96",0,fcbk,29.06292217100199,76.95871110801694,haryana,23950287.774115555,13944111.985606715,0.0408398,0.0923656,23950264.903827555,13944060.260870716,23950310.644403554,13944163.710342716,416.996272,196.678944,462.736848,300.128416,29.048335364337227,76.96924491996766,1.914749509551204
2295,"28.82,76.85",2,zigzag,28.81674603680703,76.8498596977234,haryana,23940142.087324448,13970331.348733883,0.114122,0.0665288,23940078.17900445,13970294.092605883,23940205.995644446,13970368.604861883,483.01456,868.906752,610.8312,943.419008,28.814232696266505,76.84980448284153,0.2786125191923076
2296,"28.82,76.85",3,zigzag,28.819732284683685,76.85229234886171,haryana,23940368.826844446,13970013.666333886,0.0641802,0.115273,23940332.88593245,13969949.113453886,23940404.767756447,13970078.219213886,737.721488,523.9276000000001,809.603312,653.03336,28.81674603680703,76.8498596977234,0.4073396555537621
2297,"28.82,76.85",4,zigzag,28.815075724159502,76.85219846553804,haryana,23940360.07628445,13970509.035613883,0.0696509,0.0645536,23940321.071780447,13970472.885597885,23940399.080788445,13970545.185629886,725.907336,1047.699744,803.9163440000001,1119.999776,28.81492306814788,76.85229067859648,0.019164595421182578
2298,"29.62,76.57",0,zigzag,29.618298148732304,76.573906161499,haryana,23914421.353528887,13884729.392846068,0.034293,0.0886186,23914402.149448887,13884679.766430069,23914440.557608888,13884779.019262068,904.87656,692.8406239999999,943.28472,792.093456,29.67383954913857,76.6075031457901,6.963184545168704
