,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
2205,"23.70,87.06",0,fcbk,23.70080471465009,87.05714939804075,west_bengal,24891530.443306662,14502304.315098977,0.0533297,0.0629668,24891500.578674667,14502269.053690976,24891560.307938665,14502339.576506976,264.44000800000003,442.825152,324.16927200000003,513.347968,23.70115361313902,87.06088250083924,0.38267833202382506
2206,"23.70,87.06",2,zigzag,23.70115361313902,87.06088250083924,west_bengal,24891878.39370667,14502268.799898976,0.0325936,0.0690825,24891860.14129067,14502230.113698976,24891896.646122668,14502307.486098977,624.002624,403.8851599999999,660.507456,481.25756,23.70080471465009,87.05714939804075,0.38267833202382506
2207,"26.27,89.31",0,zigzag,26.27382312973444,89.3130987745285,west_bengal,25101800.165386666,14237684.658998229,0.0347082,0.0584156,25101780.728794664,14237651.94626223,25101819.601978667,14237717.371734228,829.390128,129.896704,868.263312,195.322176,26.19049975311073,89.26133526287076,10.58172455584575
2208,"24.86,87.96",0,zigzag,24.86211447853768,87.9648377609253,west_bengal,24976133.13066667,14383554.78033375,0.0395157,0.0639529,24976111.00187467,14383518.96670975,24976155.25945867,14383590.59395775,988.783208,306.97357600000004,1033.040792,378.600824,24.76309233101112,87.87891115531917,13.992257870728302
2209,"23.84,88.50",0,zigzag,23.8438067013081,88.49844637699125,west_bengal,25025869.058506668,14487739.829748252,0.0560687,0.0555024,25025837.660034668,14487708.748404251,25025900.456978668,14487770.911092252,383.793368,141.005536,446.590312,203.168224,23.86520098766209,88.4981729701996,2.3697118746795827
2210,"22.89,88.88",1,zigzag,22.891090905036144,88.8815473625183,west_bengal,25061576.658417776,14584474.990587952,0.0523936,0.032971,25061547.318001777,14584456.526827952,25061605.998833776,14584493.454347951,674.884224,431.16472,733.565056,468.09224,22.89283147962846,88.88530226497656,0.4307969411685714
2211,"23.75,88.29",0,zigzag,23.753965702290014,88.28998987026218,west_bengal,25006439.503840003,14496891.836909898,0.0601552,0.028259,25006405.816928003,14496876.011869898,25006473.190752003,14496907.661949895,525.3689280000001,140.33880000000002,592.742752,171.98888,23.758956556674363,88.25999810142518,3.1069968849782112
2212,"25.32,87.96",0,zigzag,25.321192156194453,87.96368086795808,west_bengal,24976025.30042667,14336306.701239487,0.0337969,0.0691475,24976006.37416267,14336267.978639487,24976044.22669067,14336345.423839487,884.155496,398.35068,922.008024,475.79588,25.32199975182002,87.97058573436736,0.7009541825325277
2213,"23.79,87.82",0,fcbk,23.793019167860315,87.81709933815,west_bengal,24962362.91160889,14492914.27939292,0.0286116,0.0626448,24962346.88911289,14492879.19830492,24962378.93410489,14492949.36048092,273.616224,217.376992,305.661216,287.539168,23.787262434141525,87.80425481523515,1.456079096867532
2214,"23.13,88.20",0,zigzag,23.1312211274845,88.19788635749816,west_bengal,24997854.83424,14560158.300063305,0.0625062,0.0409861,24997819.830768,14560135.347847303,24997889.837712,14560181.252279304,327.990768,413.281064,397.997712,459.185496,23.12914428916905,88.18502891345979,1.336844493626429
2215,"22.26,88.54",0,zigzag,22.257386715874944,88.54058637123106,west_bengal,25029796.79064889,14648441.862793189,0.0361038,0.0490404,25029776.57252089,14648414.400169186,25029817.00877689,14648469.325417189,594.4356319999999,795.725056,634.871888,850.650304,22.24982909474469,88.55447947101594,1.6586706644804488
2216,"22.57,88.94",0,fcbk,22.57136114872712,88.93471207857132,west_bengal,25066531.96911111,14616785.662365936,0.0748487,0.0385662,25066490.05383911,14616764.065293936,25066573.884383112,14616807.259437935,25.214727999999997,401.011408,109.045272,444.205552,22.57140938248465,88.93576337623598,0.10825085248666587
2217,"23.18,87.10",0,fcbk,23.18193700191372,87.1006477624893,west_bengal,24895584.78472889,14555017.023715584,0.0592308,0.0248717,24895551.61548089,14555003.095563583,24895617.95397689,14555030.951867584,587.2065920000001,349.674248,653.545088,377.53055200000006,23.18631058816589,87.12792681636816,2.8345989478188014
2218,"23.84,87.86",0,fcbk,23.83959068208736,87.8612841094971,west_bengal,24966481.230791114,14488169.452788252,0.0226809,0.0541933,24966468.529487114,14488139.104540251,24966493.932095114,14488199.801036252,666.9863760000001,571.361672,692.3889839999999,632.0581679999999,23.827308202074224,87.82783406257627,3.669443040239732
2219,"24.39,88.24",0,zigzag,24.389177288812864,88.24288941459655,west_bengal,25002049.423182223,14432046.209702415,0.0537851,0.0591534,25002019.303526223,14432013.083798418,25002079.542838223,14432079.335606417,799.1933039999999,611.0700959999999,859.4326159999999,677.321904,24.38348982527412,88.23321097068786,1.1665587717443469
2220,"23.94,88.68",0,zigzag,23.94042527639342,88.6782296991348,west_bengal,25042626.078666665,14477890.316561874,0.0581287,0.0418747,25042593.526594665,14477866.866729874,25042658.630738664,14477913.766393874,362.443928,493.180408,427.5480720000001,540.080072,23.946216135974463,88.66506543369289,1.4856532860787692
2221,"23.49,88.28",0,zigzag,23.490922379709257,88.27960938625338,west_bengal,25005471.97260445,14523651.59278408,0.05115,0.0386029,25005443.328604445,14523629.97516008,25005500.616604447,14523673.21040808,494.94816,444.641736,552.23616,487.876984,23.50851873045884,88.27217114048003,2.0916739867019336
2222,"24.29,88.30",0,zigzag,24.28806420880577,88.30374390544893,west_bengal,25007721.47283556,14442389.924093137,0.0604622,0.0391545,25007687.614003558,14442367.997573135,25007755.33166756,14442411.850613134,875.0984480000001,736.0245199999999,942.816112,779.8775599999999,24.27471136471107,88.30293763599393,1.4812554149387913
2223,"22.59,88.80",2,zigzag,22.58674369634832,88.80041751823425,west_bengal,25054014.80885333,14615232.885689627,0.0408853,0.0792096,25053991.91308533,14615188.528313627,25054037.704621334,14615277.243065627,576.019752,844.3693440000001,621.8112880000001,933.084096,22.589389663884383,88.79875880069731,0.3390399875155924
2224,"22.59,88.80",3,zigzag,22.589389663884383,88.79875880069731,west_bengal,25053860.20517333,14614965.773529628,0.0556583,0.0754478,25053829.03652533,14614923.522761628,25053891.373821333,14615008.024297629,413.143192,579.363792,475.480488,663.865328,22.58674369634832,88.80041751823425,0.3390399875155924
2225,"23.62,87.43",0,fcbk,23.624733188629268,87.43098540840151,west_bengal,24926374.484942224,14510045.551320707,0.0475024,0.0745658,24926347.883598223,14510003.794472707,24926401.086286224,14510087.308168707,625.2453760000001,36.730288,678.448064,120.243984,23.62340625081979,87.42885376548769,0.26251569387030654
2226,"23.62,87.43",1,fcbk,23.62340625081979,87.42885376548769,west_bengal,24926175.801422223,14510180.544024706,0.0653285,0.047594,24926139.217462223,14510153.891384706,24926212.385382224,14510207.196664706,416.57924,186.8272,489.74716,240.13248,23.624733188629268,87.43098540840151,0.26251569387030654
2227,"24.38,88.22",0,zigzag,24.37664408986649,88.21609624176027,west_bengal,24999552.118471112,14433328.785512349,0.046289,0.0639151,24999526.19663111,14433292.993056348,24999578.040311117,14433364.577968346,170.22152,867.619704,222.06520000000003,939.204616,24.369048579291366,88.20403216438295,1.4852341052088607
2228,"22.39,88.96",0,zigzag,22.385647481125176,88.96346145038608,west_bengal,25069211.604782224,14635518.721890133,0.0780078,0.0449956,25069167.920414224,14635493.524354132,25069255.289150223,14635543.91942613,838.946192,973.556864,926.314928,1023.951936,22.446719094814647,88.98597915496829,7.149171304428937
2229,"23.10,87.36",0,fcbk,23.105099040565225,87.36322134075165,west_bengal,24920058.416053336,14562805.64450158,0.03615,0.0692499,24920038.172053337,14562766.86455758,24920078.66005333,14562844.42444558,840.0067200000001,4.5175759999999965,880.4947199999999,82.077464,23.122069476223803,87.3479418727875,2.445797289965026
2230,"23.91,88.49",0,zigzag,23.90757669791481,88.49085415439605,west_bengal,25025161.41207111,14481239.799692491,0.049113,0.0600209,25025133.90879111,14481206.187988492,25025188.915351108,14481273.41139649,612.10968,773.456936,667.11624,840.6803440000001,23.90359493622232,88.49434964904782,0.5667230154059371
2231,"23.70,87.14",0,fcbk,23.70528690107918,87.14375922622675,west_bengal,24899603.064391103,14501848.055546977,0.0737671,0.0386959,24899561.754815105,14501826.385842975,24899644.373967107,14501869.725250976,869.075704,0.1573040000000003,951.694856,43.496712,23.71700681783771,87.12262570495605,2.5158559049373737
2232,"22.44,88.80",0,fcbk,22.43795514868553,88.80515956935882,west_bengal,25054456.80005333,14630244.95284687,0.0512608,0.0586803,25054428.09400533,14630212.09187887,25054485.506101333,14630277.81381487,1012.200672,733.345592,1069.612768,799.0675279999999,22.47527741864981,88.81624529190063,4.287555044884147
2233,"22.59,88.62",0,zigzag,22.59316452270332,88.61815021133422,west_bengal,25037026.264533333,14614584.690169629,0.0593603,0.0284095,25036993.02276533,14614568.780849626,25037059.50630133,14614600.599489627,354.345432,224.62188000000003,420.828968,256.44052,22.59510812679304,88.59897031154631,1.983911323667656
2234,"22.55,88.94",1,fcbk,22.553386200343716,88.93833586311341,west_bengal,25066869.73031111,14618599.906946668,0.0967298,0.0645846,25066815.56162311,14618563.739570666,25066923.89899911,14618636.074322669,350.722512,182.08366400000003,459.059888,254.418416,22.554893129994365,88.93574344120029,0.3145589931785594
2235,"26.06,89.37",0,fcbk,26.06222832992839,89.37012988414759,west_bengal,25107115.85008,14259659.00996051,0.0750511,0.0365142,25107073.821464,14259638.56200851,25107157.878696,14259679.45791251,530.077464,308.34932800000007,614.134696,349.245232,26.111171371955976,89.39824920158387,6.108681886187948
2236,"23.48,88.37",0,zigzag,23.48079141783108,88.3721698066711,west_bengal,25014099.229084443,14524681.15759171,0.050178,0.060541,25014071.129404444,14524647.25463171,25014127.32876444,14524715.06055171,734.14096,445.6720800000001,790.34032,513.478,23.474130428538025,88.36856819820402,0.8243731511048825
2237,"22.13,87.92",0,zigzag,22.12736666381862,87.92111705894472,west_bengal,24972058.06588445,14661530.185286086,0.0717718,0.0522963,24972017.87367645,14661500.899358086,24972098.258092448,14661559.471214086,623.9252319999999,795.675832,704.309648,854.247688,22.126218589842228,87.92377892093658,0.3026224008601092
2238,"22.13,87.92",1,zigzag,22.126218589842228,87.92377892093658,west_bengal,24972306.169404447,14661645.700966086,0.0672762,0.0621621,24972268.494732447,14661610.890190084,24972343.844076447,14661680.511742087,874.546288,905.666664,949.895632,975.288216,22.12569002674765,87.92500268188478,0.13916276647454978
2239,"21.92,87.26",0,zigzag,21.91887816898282,87.25969114513398,west_bengal,24910408.70241778,14682492.285607398,0.0252338,0.0513894,24910394.57148978,14682463.507543398,24910422.83334578,14682521.063671395,517.081712,643.9320160000001,545.343568,701.4881439999999,21.917922152048614,87.25924495601654,0.11546168420701547
2240,"21.92,87.26",1,zigzag,21.917922152048614,87.25924495601654,west_bengal,24910367.11457778,14682588.335687395,0.0509645,0.0353435,24910338.574457783,14682568.543327397,24910395.65469778,14682608.128047395,461.0846800000001,748.9678,518.16492,788.5525200000001,21.91887816898282,87.25969114513398,0.11546168420701547
2241,"22.70,87.00",0,fcbk,22.696788894664763,87.00359527587884,west_bengal,24886538.83733333,14604119.410295645,0.0298085,0.0548717,24886522.14457333,14604088.682143643,24886555.530093327,14604150.138447644,878.4112400000001,853.695528,911.79676,915.151832,22.69732286099157,87.00772251529696,0.4281761086642194
