,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
5486,"27.88,79.21",0,fcbk,27.87907516691269,79.2073908414841,uttar_pradesh,24159879.91635556,14069639.07271229,0.0640731,0.0633874,24159844.03541956,14069603.57576829,24159915.79729156,14069674.569656288,280.927864,622.022576,352.689736,693.016464,79.2241,27.89115,0.020615469249963343,2.12072661843896
5487,"28.84,77.28",0,zigzag,28.83700634408964,77.27621596012116,uttar_pradesh,23979881.37125333,13968175.842132738,0.0840159,0.0668558,23979834.32234933,13968138.40288474,23979928.420157336,13968213.281380735,160.253016,841.0932320000001,254.350824,915.971728,77.29752,28.83908,0.02140472293662927,2.0917345794173583
5488,"26.06,83.41",0,zigzag,26.06075643290315,83.40678367004392,uttar_pradesh,24551291.69720889,14259811.72868051,0.0700667,0.040241,24551252.45985689,14259789.19372051,24551330.934560888,14259834.26364051,220.978968,458.98104,299.453672,504.05096,83.413777,26.058587,0.007322096898826642,0.7399261340191567
5489,"26.08,81.21",0,fcbk,26.0750931294988,81.21101524486541,uttar_pradesh,24346631.246346667,14258324.123122182,0.0410806,0.0734743,24346608.241210666,14258282.97751418,24346654.25148267,14258365.268730182,631.6225440000001,1028.043352,677.632816,1110.334568,81.206736,26.076366,0.00446454207404166,0.4507791379614025
5490,"27.79,81.70",0,zigzag,27.793158278127034,81.7031941478729,uttar_pradesh,24392505.64504889,14078694.99837944,0.0498825,0.0693405,24392477.71084889,14078656.16769944,24392533.57924889,14078733.82905944,829.78196,188.41284,885.65036,266.0742,81.7436,27.7744,0.04454779326080882,4.492190558330035
5491,"27.78,78.78",0,fcbk,27.77857986659192,78.77980761909483,uttar_pradesh,24120026.271466665,14080230.900526917,0.0541098,0.0643784,24119995.969978664,14080194.848622914,24120056.572954662,14080266.952430915,511.767312,673.556576,572.3702880000001,745.660384,78.773689,27.777035,0.0063106348661862354,0.6268970543093895
5492,"27.78,78.78",1,fcbk,27.77480891039188,78.7835831514358,uttar_pradesh,24120378.176586665,14080628.154446917,0.057273,0.0234593,24120346.103706665,14080615.017238917,24120410.249466665,14080641.291654916,861.9010400000001,1093.725192,926.0468,1119.999608,78.773689,27.777035,0.010141484485910676,1.0059295574838365
5493,"27.78,78.78",2,fcbk,27.77908558373249,78.78139608936311,uttar_pradesh,24120174.327626668,14080177.624366911,0.0676036,0.0621929,24120136.46961067,14080142.796342911,24120212.185642667,14080212.452390913,652.2669440000001,621.5042959999998,727.982976,691.160344,78.773689,27.777035,0.00797521912519556,0.7928911391276483
5494,"26.56,83.29",0,fcbk,26.56241216624589,83.2918519395828,uttar_pradesh,24540579.28350222,14207649.645849448,0.0758002,0.0317168,24540536.83539022,14207631.884441448,24540621.73161422,14207667.407257449,690.165168,290.879232,775.061392,326.402048,83.296835,26.567527,0.007140897384340325,0.753426202557702
5495,"29.07,78.59",0,zigzag,29.06908617831856,78.58974747753142,uttar_pradesh,24102311.38231111,13943454.677517015,0.0379955,0.0653352,24102290.10483111,13943418.089805018,24102332.65979111,13943491.265229017,515.1857200000001,620.862368,557.74068,694.0377920000001,78.626,29.062,0.03693858833926668,3.6164910129014776
5496,"25.73,83.38",0,fcbk,25.730193364649374,83.38241926498415,uttar_pradesh,24549020.770062223,14294061.438098151,0.0320574,0.0597263,24549002.817918222,14294027.991370153,24549038.722206224,14294094.884826154,767.5396959999999,506.546712,803.443984,573.440168,83.388287,25.715708,0.01562869486686687,1.7093647516738315
5497,"28.10,77.81",0,zigzag,28.09923515104333,77.80685189857483,uttar_pradesh,24029340.225457776,14046400.600660328,0.0754215,0.0727888,24029297.989417776,14046359.838932328,24029382.461497776,14046441.362388328,224.33964,600.0529919999999,308.81172000000004,681.576448,77.822505,28.093696,0.01660426988781983,1.6562513675777581
5498,"27.26,79.62",0,zigzag,27.262775506871044,79.62148665618899,uttar_pradesh,24198476.44373333,14134441.893826691,0.0725444,0.0552502,24198435.818869334,14134410.953714691,24198517.06859733,14134472.833938692,657.941536,238.039088,739.191264,299.919312,79.630787,27.266354,0.009965039291287267,1.0026724848101822
5499,"27.36,79.60",0,fcbk,27.356430484255466,79.6047840360641,uttar_pradesh,24196919.64670222,14124617.603814218,0.0622882,0.0704562,24196884.76531022,14124578.148342218,24196954.528094217,14124657.059286218,971.023088,895.1464480000001,1040.785872,974.057392,79.603952,27.364518,0.00813020263769949,0.8999440804218309
5500,"26.57,82.17",0,fcbk,26.573875152051308,82.1679613992691,uttar_pradesh,24435825.09264,14206455.07510594,0.069861,0.0332757,24435785.97048,14206436.44071394,24435864.2148,14206473.709497942,330.86648,137.518248,409.1108,174.787032,82.181673,26.570484,0.014124726788108624,1.416785247175002
5501,"26.54,83.74",1,zigzag,26.537690704598944,83.739894304657,uttar_pradesh,24582339.858702224,14210225.49079946,0.0384986,0.0695029,24582318.299486224,14210186.56917546,24582361.417918224,14210264.41242346,528.589264,761.671176,571.7076959999999,839.514424,83.728464,26.526946,0.015687591958945403,1.6477048590470134
5502,"26.71,82.61",0,zigzag,26.708528070007443,82.60787061614991,uttar_pradesh,24476827.603484444,14192413.772418262,0.0534108,0.0715069,24476797.693436444,14192373.728554262,24476857.513532445,14192453.816282265,331.61699200000004,673.537256,391.437088,753.6249839999999,82.615217,26.71633,0.010716317804247644,1.1320967066936716
5503,"29.67,78.28",0,fcbk,29.669098752266702,78.27754432563783,uttar_pradesh,24073211.939448893,13879281.387017086,0.0847081,0.0951115,24073164.50291289,13879228.124577086,24073259.37598489,13879334.649457086,283.67802400000005,603.41484,378.551096,709.9397200000001,78.294432,29.674308,0.01767285509784561,1.7337480127937475
5504,"27.02,80.90",0,zigzag,27.02119586847785,80.90149302482607,uttar_pradesh,24317781.68444445,14159745.206003273,0.0806839,0.106025,24317736.501460448,14159685.832003271,24317826.867428444,14159804.580003273,653.977016,375.5052,744.3429839999999,494.2532,80.90627,27.029105,0.009239797251407555,0.9963526409623824
5505,"27.02,80.90",1,zigzag,27.01937567912694,80.89832187614441,uttar_pradesh,24317486.11196445,14159935.647443272,0.055776,0.0797688,24317454.877404444,14159890.976915272,24317517.346524447,14159980.317971272,372.35296,580.6501119999999,434.82208,669.991168,80.90627,27.029105,0.01256313485858091,1.3357639877565917
5506,"25.36,83.33",0,fcbk,25.358772642991426,83.3319757915497,uttar_pradesh,24544319.097564448,14332431.046308711,0.0694009,0.0380162,24544280.23306045,14332409.757236714,24544357.96206845,14332452.335380713,705.292616,665.307888,783.021624,707.886032,83.34536,25.345753,0.018672121986143327,1.9736549934338448
5507,"26.75,79.04",0,fcbk,26.749935038747363,79.04191376342776,uttar_pradesh,24144456.334791116,14188092.612751398,0.0588896,0.0764202,24144423.35661511,14188049.817439398,24144489.312967114,14188135.4080634,705.3975039999999,523.9851679999999,771.3538560000001,609.575792,79.027362,26.770714,0.025367677260564627,2.719470785776717
5508,"26.75,79.04",1,fcbk,26.75187742210447,79.04097168579106,uttar_pradesh,24144368.526791114,14187889.870351398,0.0765165,0.0654375,24144325.677551117,14187853.2253514,24144411.37603112,14187926.515351398,607.71844,327.39307999999994,693.4169200000001,400.68308,79.027362,26.770714,0.023238765331789438,2.487640848593703
5509,"26.75,79.04",2,fcbk,26.745771314134316,79.04097072448735,uttar_pradesh,24144368.437191118,14188527.202991398,0.0845524,0.0838011,24144321.087847117,14188480.274375398,24144415.786535118,14188574.131607398,603.128736,954.442104,697.827424,1048.299336,79.027362,26.770714,0.028413640392723323,3.0773330699894195
5510,"26.03,82.49",0,fcbk,26.02636201339281,82.49564392223354,uttar_pradesh,24466367.317457777,14263379.823518924,0.0606223,0.0438333,24466333.368969776,14263355.276870923,24466401.265945777,14263404.370166922,1052.103192,912.810472,1120.000168,961.903768,82.502575,26.026508,0.006932615025666215,0.6939567851081122
5511,"27.11,83.65",0,fcbk,27.1107770265724,83.65242330245974,uttar_pradesh,24574186.970382225,14150368.755652878,0.0817501,0.0373532,24574141.190326225,14150347.83786088,24574232.750438225,14150389.673444878,740.0881039999999,457.718688,831.6482159999999,499.554272,83.667687,27.121138,0.01844804143989354,1.8996107588976903
5512,"26.51,83.60",0,zigzag,26.504866437394263,83.60234854907988,uttar_pradesh,24569519.665084444,14213644.747515652,0.0349579,0.0449421,24569500.088660445,14213619.579939652,24569539.241508443,14213669.915091652,759.3242160000001,1069.523784,798.477064,1119.858936,83.590114,26.505248,0.012240497588335146,1.2203424271326186
5513,"25.87,80.78",0,zigzag,25.8655438388527,80.77518622840883,uttar_pradesh,24306009.03774578,14280049.338813698,0.0862229,0.058403,24305960.752921782,14280016.633133698,24306057.32256978,14280082.044493698,63.03914399999999,988.88888,159.608792,1054.30024,80.770152,25.879603,0.014933300634420188,1.637244110113058
5514,"26.09,81.36",0,fcbk,26.08671112591005,81.35754431362156,uttar_pradesh,24360288.745440003,14257118.481951004,0.0423524,0.0728766,24360265.028096,14257077.671055004,24360312.462784003,14257159.292847004,307.396096,860.509104,354.83078399999994,942.130896,81.3633,26.0827,0.007015486922031022,0.7273686190859737
5515,"26.36,84.01",0,fcbk,26.36424987283148,84.01557664299013,uttar_pradesh,24608035.315022223,14228281.539154597,0.0211674,0.0454934,24608023.461278223,14228256.062850596,24608047.168766223,14228307.015458597,1067.927056,92.431696,1091.634544,143.384304,84.01269,26.370018,0.006450116183810748,0.7010095170938186
5516,"28.77,78.52",0,fcbk,28.77222530222082,78.52235032749176,uttar_pradesh,24096029.512622222,13975066.464830523,0.0741971,0.0730307,24095987.96224622,13975025.567638524,24096071.062998224,13975107.362022525,737.516024,282.478168,820.616776,364.272552,78.557362,28.76789,0.035279059754613734,3.452619497729064
5517,"25.45,83.62",0,zigzag,25.45231158943945,83.61676801280979,uttar_pradesh,24570863.65651556,14322779.188700732,0.037823,0.077424,24570842.47563556,14322735.831260731,24570884.83739556,14322822.546140732,237.57608,278.02992,279.93784,364.74480000000005,83.615527,25.463248,0.011006597509810312,1.2179449178349817
