,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
341,"23.98,87.67",0,zigzag,23.98222754909949,87.67031257991792,west_bengal,24948681.39411556,14473626.615577947,0.0320862,0.0602938,24948663.425843555,14473592.851049948,24948699.36238756,14473660.380105948,571.166288,298.99755200000004,607.1028319999999,366.526608,87.676417,23.98695,0.007717868037628055,0.8120848105043705
342,"23.27,86.90",0,fcbk,23.2727002755625,86.90544916210172,west_bengal,24877390.956497777,14545811.108946934,0.0453908,0.0545415,24877365.537649777,14545780.565706937,24877416.375345778,14545841.652186934,1042.479872,255.48348,1093.3175680000002,316.56996000000004,86.889766,23.283199,0.018872858509603033,1.9815480375416838
343,"22.39,87.32",0,fcbk,22.389352416657783,87.32497074527741,west_bengal,24916493.202151112,14635145.247810133,0.0219481,0.0571056,24916480.91121511,14635113.268674131,24916505.493087117,14635177.22694613,1011.016104,593.3011839999999,1035.597976,657.259456,87.3161798,22.3923544,0.009289382264574002,0.9643697408826595
344,"22.61,88.58",0,fcbk,22.61468755141217,88.57978422336583,west_bengal,25033450.295271117,14612411.675962664,0.0608675,0.0412664,25033416.209471118,14612388.566778664,25033484.381071117,14612434.785146665,505.80236,63.595952,573.97396,109.81432,88.58725,22.617817,0.008095138616174006,0.842164600128638
345,"22.61,88.58",1,fcbk,22.60563344264276,88.58199555835724,west_bengal,25033656.406631112,14613325.840906665,0.0536852,0.0458529,25033626.34291911,14613300.163282664,25033686.470343117,14613351.518530663,715.935808,975.192456,776.063232,1026.547704,88.574933,22.601833,0.008020168005113015,0.8393085114307024
346,"22.61,88.58",2,fcbk,22.613823155856757,88.58274360885619,west_bengal,25033726.12999111,14612498.953866664,0.0334711,0.0635187,25033707.38617511,14612463.383394664,25033744.87380711,14612534.524338664,796.9790639999999,138.41256800000002,834.4666960000001,209.553512,88.58725,22.617817,0.006021490860367046,0.6405121380961807
347,"22.61,88.58",5,zigzag,22.610899442530638,88.58398599777222,west_bengal,25033841.92903111,14612794.156746663,0.0537566,0.0557619,25033811.82533511,14612762.930082666,25033872.03272711,14612825.383410664,901.418224,437.959256,961.625616,500.412584,88.58725,22.617817,0.007648941880081623,0.8363197032668478
348,"22.61,88.58",6,zigzag,22.6128322745374,88.57592266635896,west_bengal,25033090.372071117,14612599.002346665,0.0599128,0.0481045,25033056.820903115,14612572.063826663,25033123.923239112,14612625.940866664,146.413792,247.093,213.516128,300.97004000000004,88.574933,22.601833,0.011043707703990246,1.2222866356646382
349,"22.61,88.58",7,zigzag,22.614577598117037,88.58087172222137,west_bengal,25033551.65751111,14612422.777962664,0.0668481,0.044119,25033514.222575117,14612398.071322665,25033589.09244711,14612447.484602664,603.8154639999999,73.100496,678.685336,122.513776,88.58725,22.617817,0.007153750902890686,0.7474590040992078
350,"22.61,88.58",10,zigzag,22.613878984162294,88.58351194286348,west_bengal,25033797.743911117,14612493.316906665,0.0625425,0.042933,25033762.720111117,14612469.274426663,25033832.767711114,14612517.359386664,852.313,144.3036,922.3606,192.38856,88.58725,22.617817,0.0054296445458123024,0.5812658557131
351,"22.08,88.17",0,zigzag,22.077383858493,88.16838801383973,west_bengal,24995105.389333334,14666558.431135962,0.0599705,0.0631328,24995071.805853333,14666523.076767962,24995138.97281333,14666593.78550396,376.16852,787.7840319999999,443.33548,858.492768,88.169817,22.098983,0.021646360324212393,2.396246613009485
352,"23.66,88.43",0,zigzag,23.66331094395783,88.42695693302154,west_bengal,25019205.759377778,14506120.34152606,0.0640179,0.0298939,25019169.909353778,14506103.600942062,25019241.609401777,14506137.08211006,240.515576,206.332056,312.215624,239.813224,88.427317,23.6684,0.005101778085072169,0.56482597096732
353,"22.78,88.39",0,zigzag,22.78054863125466,88.39533469486237,west_bengal,25016258.35315556,14595654.523312189,0.0607343,0.0337566,25016224.34194756,14595635.619616186,25016292.36436356,14595673.427008187,1023.218392,485.633904,1091.240808,523.441296,88.390017,22.775767,0.007151354844002654,0.7606488708940772
